ensembl_gene_id	ensembl_transcript_id
ENSG00000005436	ENST00000321027
ENSG00000172809	ENST00000439590
ENSG00000111642	ENST00000544040
ENSG00000109685	ENST00000508803
ENSG00000166483	ENST00000450114
ENSG00000108654	ENST00000225792
ENSG00000115947	ENST00000264169
ENSG00000270757	ENST00000604458
ENSG00000105705	ENST00000247001
ENSG00000173692	ENST00000308696
ENSG00000115364	ENST00000393909
ENSG00000144381	ENST00000388968
ENSG00000142252	ENST00000591747
ENSG00000138686	ENST00000264499
ENSG00000114346	ENST00000540509
ENSG00000127054	ENST00000435064
ENSG00000165502	ENST00000298289
ENSG00000107290	ENST00000224140
ENSG00000166037	ENST00000325542
ENSG00000091527	ENST00000264993
ENSG00000129933	ENST00000262815
ENSG00000113269	ENST00000521389
ENSG00000108055	ENST00000361804
ENSG00000174547	ENST00000310999
ENSG00000100297	ENST00000216122
ENSG00000089685	ENST00000301633
ENSG00000186432	ENST00000334256
ENSG00000184178	ENST00000401642
ENSG00000008324	ENST00000011691
ENSG00000106263	ENST00000360876
ENSG00000131171	ENST00000373212
ENSG00000084090	ENST00000337288
ENSG00000101439	ENST00000376925
ENSG00000165506	ENST00000298292
ENSG00000104884	ENST00000391945
ENSG00000198157	ENST00000358130
ENSG00000105364	ENST00000253099
ENSG00000161533	ENST00000293217
ENSG00000135597	ENST00000258062
ENSG00000038219	ENST00000040738
ENSG00000197601	ENST00000354817
ENSG00000089195	ENST00000203001
ENSG00000197063	ENST00000392366
ENSG00000106305	ENST00000223029
ENSG00000153310	ENST00000522746
ENSG00000108176	ENST00000225171
ENSG00000215712	ENST00000400788
ENSG00000086232	ENST00000199389
ENSG00000100324	ENST00000216160
ENSG00000006625	ENST00000275428
ENSG00000109133	ENST00000504986
ENSG00000106105	ENST00000389266
ENSG00000125740	ENST00000353609
ENSG00000148943	ENST00000278193
ENSG00000056097	ENST00000265069
ENSG00000170291	ENST00000396628
ENSG00000167491	ENST00000360315
ENSG00000112335	ENST00000230085
ENSG00000065427	ENST00000319410
ENSG00000134684	ENST00000373477
ENSG00000198818	ENST00000361731
ENSG00000100129	ENST00000624234
ENSG00000117877	ENST00000309424
ENSG00000166848	ENST00000300086
ENSG00000257103	ENST00000544216
ENSG00000012061	ENST00000013807
ENSG00000006744	ENST00000338034
ENSG00000162909	ENST00000295006
ENSG00000158941	ENST00000389279
ENSG00000011052	ENST00000393193
ENSG00000093010	ENST00000361682
ENSG00000170296	ENST00000302386
ENSG00000020426	ENST00000261245
ENSG00000076003	ENST00000264156
ENSG00000113141	ENST00000417647
ENSG00000100902	ENST00000261479
ENSG00000023734	ENST00000419869
ENSG00000006634	ENST00000265728
ENSG00000100979	ENST00000372431
ENSG00000174915	ENST00000308020
ENSG00000133872	ENST00000256255
ENSG00000100030	ENST00000215832
ENSG00000133026	ENST00000269243
ENSG00000114302	ENST00000265563
ENSG00000168172	ENST00000307602
ENSG00000183010	ENST00000329875
ENSG00000100890	ENST00000534898
ENSG00000168522	ENST00000302279
ENSG00000096717	ENST00000212015
ENSG00000130340	ENST00000392185
ENSG00000153147	ENST00000283131
ENSG00000118689	ENST00000406360
ENSG00000184840	ENST00000332598
ENSG00000100034	ENST00000263212
ENSG00000064601	ENST00000372484
ENSG00000151327	ENST00000280987
ENSG00000014164	ENST00000262577
ENSG00000167881	ENST00000307877
ENSG00000119203	ENST00000238112
ENSG00000131495	ENST00000252102
ENSG00000146282	ENST00000369536
ENSG00000125753	ENST00000245932
ENSG00000165416	ENST00000343788
ENSG00000118965	ENST00000345530
ENSG00000197045	ENST00000358056
ENSG00000106070	ENST00000398812
ENSG00000162402	ENST00000294383
ENSG00000182985	ENST00000452722
ENSG00000166228	ENST00000299299
ENSG00000125818	ENST00000335877
ENSG00000169972	ENST00000379031
ENSG00000026297	ENST00000508775
ENSG00000125676	ENST00000245838
ENSG00000105612	ENST00000222219
ENSG00000189306	ENST00000323013
ENSG00000075618	ENST00000382361
ENSG00000165169	ENST00000378578
ENSG00000165782	ENST00000398020
ENSG00000135336	ENST00000257789
ENSG00000184058	ENST00000332710
ENSG00000131013	ENST00000253329
ENSG00000150779	ENST00000541231
ENSG00000166135	ENST00000299163
ENSG00000144867	ENST00000466490
ENSG00000117394	ENST00000426263
ENSG00000150768	ENST00000280346
ENSG00000075702	ENST00000401500
ENSG00000116044	ENST00000397062
ENSG00000163781	ENST00000260810
ENSG00000166136	ENST00000299166
ENSG00000146729	ENST00000322090
ENSG00000011260	ENST00000225298
ENSG00000121691	ENST00000241052
ENSG00000144021	ENST00000488633
ENSG00000166881	ENST00000300128
ENSG00000136718	ENST00000259239
ENSG00000105607	ENST00000222214
ENSG00000105258	ENST00000221859
ENSG00000239789	ENST00000285298
ENSG00000000419	ENST00000371588
ENSG00000137831	ENST00000322954
ENSG00000055211	ENST00000367419
ENSG00000133789	ENST00000318950
ENSG00000159352	ENST00000368884
ENSG00000105254	ENST00000221855
ENSG00000240972	ENST00000215754
ENSG00000135451	ENST00000257909
ENSG00000186625	ENST00000367411
ENSG00000120063	ENST00000439174
ENSG00000143514	ENST00000343537
ENSG00000157326	ENST00000313250
ENSG00000169696	ENST00000306729
ENSG00000101126	ENST00000396032
ENSG00000180098	ENST00000373830
ENSG00000111364	ENST00000238146
ENSG00000148331	ENST00000277458
ENSG00000164163	ENST00000296577
ENSG00000112651	ENST00000388752
ENSG00000148335	ENST00000372483
ENSG00000069509	ENST00000378045
ENSG00000163832	ENST00000296149
ENSG00000111361	ENST00000424014
ENSG00000173545	ENST00000308683
ENSG00000169592	ENST00000563197
ENSG00000049323	ENST00000404816
ENSG00000111358	ENST00000543341
ENSG00000104671	ENST00000221114
ENSG00000087274	ENST00000264758
ENSG00000126249	ENST00000246535
ENSG00000164346	ENST00000610426
ENSG00000128272	ENST00000396680
ENSG00000126247	ENST00000246533
ENSG00000125743	ENST00000342669
ENSG00000213066	ENST00000366847
ENSG00000170448	ENST00000381538
ENSG00000011478	ENST00000012049
ENSG00000049860	ENST00000261416
ENSG00000149929	ENST00000279392
ENSG00000092978	ENST00000366935
ENSG00000130294	ENST00000498729
ENSG00000101608	ENST00000217652
ENSG00000118680	ENST00000237500
ENSG00000136868	ENST00000374212
ENSG00000167635	ENST00000456324
ENSG00000143373	ENST00000336715
ENSG00000006831	ENST00000357103
ENSG00000067533	ENST00000366932
ENSG00000162642	ENST00000471115
ENSG00000169689	ENST00000306704
ENSG00000187051	ENST00000334678
ENSG00000143393	ENST00000368874
ENSG00000212719	ENST00000647872
ENSG00000126261	ENST00000246548
ENSG00000023330	ENST00000469224
ENSG00000091732	ENST00000358303
ENSG00000198780	ENST00000389156
ENSG00000127463	ENST00000477853
ENSG00000015479	ENST00000394805
ENSG00000123064	ENST00000314045
ENSG00000004455	ENST00000354858
ENSG00000115944	ENST00000234301
ENSG00000160799	ENST00000292314
ENSG00000138802	ENST00000265175
ENSG00000122729	ENST00000309951
