gene_id	log2foldchange	group
ENSG00000131375	-0.020355476074142	TIS genes N = 413
ENSG00000172613	-0.186767602265179	TIS genes N = 413
ENSG00000123091	0.38075320072952	TIS genes N = 413
ENSG00000066827	0.040441768424008	TIS genes N = 413
ENSG00000173145	0.544405639560147	TIS genes N = 413
ENSG00000160888	0.926762735334478	TIS genes N = 413
ENSG00000122863	0.279727877898565	TIS genes N = 413
ENSG00000198492	0.570804777609561	TIS genes N = 413
ENSG00000100906	0.974480906299694	TIS genes N = 413
ENSG00000071282	0.348647297501368	TIS genes N = 413
ENSG00000128271	-0.072708384661821	TIS genes N = 413
ENSG00000132773	-0.052658336101626	TIS genes N = 413
ENSG00000126775	0.044155217258062	TIS genes N = 413
ENSG00000189007	0.498828118526472	TIS genes N = 413
ENSG00000171466	-0.45725132583734	TIS genes N = 413
ENSG00000166289	0.189083801117693	TIS genes N = 413
ENSG00000148835	0.554506220727484	TIS genes N = 413
ENSG00000146576	-0.509814897079108	TIS genes N = 413
ENSG00000134265	0.197840600443876	TIS genes N = 413
ENSG00000125945	1.134150481150033	TIS genes N = 413
ENSG00000085978	0.032834201114665	TIS genes N = 413
ENSG00000116141	-0.239659872382468	TIS genes N = 413
ENSG00000213588	0.174553856927142	TIS genes N = 413
ENSG00000166478	-0.411931041244706	TIS genes N = 413
ENSG00000101773	-0.402783843807625	TIS genes N = 413
ENSG00000145868	-0.399506723964427	TIS genes N = 413
ENSG00000122299	-0.529118557801467	TIS genes N = 413
ENSG00000162772	1.045923272157271	TIS genes N = 413
ENSG00000071243	-0.018600589027169	TIS genes N = 413
ENSG00000125347	0.37125838065806	TIS genes N = 413
ENSG00000104957	-0.19919030350132	TIS genes N = 413
ENSG00000177842	0.21154350120658	TIS genes N = 413
ENSG00000150457	-0.422274285115558	TIS genes N = 413
ENSG00000074935	-0.177333543802382	TIS genes N = 413
ENSG00000147316	-0.701666307397501	TIS genes N = 413
ENSG00000107372	-0.066639878731221	TIS genes N = 413
ENSG00000198912	-0.177719532282583	TIS genes N = 413
ENSG00000180901	-0.093034961321387	TIS genes N = 413
ENSG00000100330	-0.06138629835602	TIS genes N = 413
ENSG00000068097	0.61773851416377	TIS genes N = 413
ENSG00000100647	0.684896109990713	TIS genes N = 413
ENSG00000034677	1.149998154198888	TIS genes N = 413
ENSG00000011114	0.254596033435294	TIS genes N = 413
ENSG00000172766	0.046423710791239	TIS genes N = 413
ENSG00000172059	0.106835233732498	TIS genes N = 413
ENSG00000173875	0.589482542193305	TIS genes N = 413
ENSG00000111266	0.228958680159372	TIS genes N = 413
ENSG00000155189	0.046151422337348	TIS genes N = 413
ENSG00000143751	-0.401294671852275	TIS genes N = 413
ENSG00000275111	-0.869913081159079	TIS genes N = 413
ENSG00000077684	-0.039021464558307	TIS genes N = 413
ENSG00000143622	0.318229306144394	TIS genes N = 413
ENSG00000088356	0.314425428737622	TIS genes N = 413
ENSG00000182827	0.417806634465909	TIS genes N = 413
ENSG00000166261	-0.186096216952231	TIS genes N = 413
ENSG00000132005	-0.023402338944132	TIS genes N = 413
ENSG00000103047	-0.162701011005778	TIS genes N = 413
ENSG00000164284	0.215235005035155	TIS genes N = 413
ENSG00000168795	1.036916535036492	TIS genes N = 413
ENSG00000104998	0.253008121474652	TIS genes N = 413
ENSG00000187257	0.009889378002007	TIS genes N = 413
ENSG00000066422	0.184712208631104	TIS genes N = 413
ENSG00000124160	-0.153727823998132	TIS genes N = 413
ENSG00000152382	0.412355463660472	TIS genes N = 413
ENSG00000062725	-0.327802920159244	TIS genes N = 413
ENSG00000170836	-0.02872475169694	TIS genes N = 413
ENSG00000131408	-0.72764463857103	TIS genes N = 413
ENSG00000086544	0.123806756346974	TIS genes N = 413
ENSG00000183421	-0.256208389748383	TIS genes N = 413
ENSG00000162676	0.284730195094041	TIS genes N = 413
ENSG00000059758	-0.350294279024491	TIS genes N = 413
ENSG00000136451	0.518895565298272	TIS genes N = 413
ENSG00000135870	-0.253953572136154	TIS genes N = 413
ENSG00000157540	0.212655702786226	TIS genes N = 413
ENSG00000160190	-0.697047022311735	TIS genes N = 413
ENSG00000147912	0.435462554401807	TIS genes N = 413
ENSG00000143033	0.325423900308077	TIS genes N = 413
ENSG00000132002	0.453698232198875	TIS genes N = 413
ENSG00000100784	-0.000556331559941	TIS genes N = 413
ENSG00000112029	-0.065113945098011	TIS genes N = 413
ENSG00000075426	0.563527165187296	TIS genes N = 413
ENSG00000055044	1.168462300037596	TIS genes N = 413
ENSG00000278311	0.32920601596493	TIS genes N = 413
ENSG00000099860	1.25011333229099	TIS genes N = 413
ENSG00000115993	0.142965172169291	TIS genes N = 413
ENSG00000137955	0.224367330816867	TIS genes N = 413
ENSG00000162702	0.806446439440983	TIS genes N = 413
ENSG00000078142	-0.909175235601792	TIS genes N = 413
ENSG00000106351	-0.074782592031188	TIS genes N = 413
ENSG00000170852	-0.256931287990644	TIS genes N = 413
ENSG00000079950	0.027851246815908	TIS genes N = 413
ENSG00000111727	-0.11340221421629	TIS genes N = 413
ENSG00000167625	-0.179944774402487	TIS genes N = 413
ENSG00000119965	-0.583863537234885	TIS genes N = 413
ENSG00000130449	0.032390041140314	TIS genes N = 413
ENSG00000145779	0.634691447168864	TIS genes N = 413
ENSG00000126062	0.925454148821185	TIS genes N = 413
ENSG00000182541	-0.376417925112933	TIS genes N = 413
ENSG00000120837	-0.628004944972464	TIS genes N = 413
ENSG00000185591	0.052363796023483	TIS genes N = 413
ENSG00000113742	0.128280238012686	TIS genes N = 413
ENSG00000120539	0.30923724475358	TIS genes N = 413
ENSG00000172466	0.494529721490394	TIS genes N = 413
ENSG00000177427	0.043489469022615	TIS genes N = 413
ENSG00000163026	0.252021876129285	TIS genes N = 413
ENSG00000198382	0.351539194955559	TIS genes N = 413
ENSG00000139517	0.060128550237338	TIS genes N = 413
ENSG00000086102	-0.045224767242004	TIS genes N = 413
ENSG00000196449	-0.250067002764615	TIS genes N = 413
ENSG00000188786	-0.347999520547861	TIS genes N = 413
ENSG00000148841	0.769560103363169	TIS genes N = 413
ENSG00000159592	-0.477069745729969	TIS genes N = 413
ENSG00000154781	0.501922586941119	TIS genes N = 413
ENSG00000173276	0.451465876199458	TIS genes N = 413
ENSG00000173275	1.324964954247746	TIS genes N = 413
ENSG00000134780	0.150554682531964	TIS genes N = 413
ENSG00000137218	-0.152085345460009	TIS genes N = 413
ENSG00000076321	-0.098552611366941	TIS genes N = 413
ENSG00000116954	0.558171773906383	TIS genes N = 413
ENSG00000154370	-0.221025076778818	TIS genes N = 413
ENSG00000163811	-0.381797776401499	TIS genes N = 413
ENSG00000139620	-0.895764690567528	TIS genes N = 413
ENSG00000001084	0.134778844599573	TIS genes N = 413
ENSG00000153094	-0.058106022077625	TIS genes N = 413
ENSG00000099246	0.071052607928472	TIS genes N = 413
