Well,Target,Sample,Cq,File
H05,SRSF3_NOR,si eIF4A3,18.02,R2Q1
H06,SRSF3_NOR,si eIF4A3,18,R2Q1
H07,SRSF3_NOR,si PYM1,16.79,R2Q1
H08,SRSF3_NOR,si PYM1,16.95,R2Q1
H09,SRSF3_NOR,si PYM1,16.74,R2Q1
H10,SRSF3_NOR,si UPF1,17.14,R2Q1
H11,SRSF3_NOR,si UPF1,17.24,R2Q1
H12,SRSF3_NOR,si UPF1,17.28,R2Q1
A01,RSRC2_PTC+,siNC,24.49,R2Q2
A02,RSRC2_PTC+,siNC,25.37,R2Q2
A03,RSRC2_PTC+,siNC,25.45,R2Q2
A04,RSRC2_PTC+,si eIF4A3,24.61,R2Q2
A05,RSRC2_PTC+,si eIF4A3,24.34,R2Q2
A06,RSRC2_PTC+,si eIF4A3,24.81,R2Q2
A07,RSRC2_PTC+,si PYM1,24.95,R2Q2
A08,RSRC2_PTC+,si PYM1,24.63,R2Q2
A09,RSRC2_PTC+,si PYM1,24.61,R2Q2
A10,RSRC2_PTC+,si UPF1,24.89,R2Q2
A11,RSRC2_PTC+,si UPF1,24.8,R2Q2
A12,RSRC2_PTC+,si UPF1,24.96,R2Q2
B01,RSRC2_NOR,siNC,23.08,R2Q2
B02,RSRC2_NOR,siNC,22.76,R2Q2
B03,RSRC2_NOR,siNC,22.95,R2Q2
B04,RSRC2_NOR,si eIF4A3,24.4,R2Q2
B05,RSRC2_NOR,si eIF4A3,24.39,R2Q2
B06,RSRC2_NOR,si eIF4A3,24.67,R2Q2
B07,RSRC2_NOR,si PYM1,23.71,R2Q2
B08,RSRC2_NOR,si PYM1,23.33,R2Q2
B09,RSRC2_NOR,si PYM1,23.59,R2Q2
B10,RSRC2_NOR,si UPF1,24.51,R2Q2
B11,RSRC2_NOR,si UPF1,24.34,R2Q2
B12,RSRC2_NOR,si UPF1,24.59,R2Q2
C01,ZFAS1,siNC,20.83,R2Q2
C02,ZFAS1,siNC,20.88,R2Q2
C03,ZFAS1,siNC,21.23,R2Q2
C04,ZFAS1,si eIF4A3,19.94,R2Q2
C05,ZFAS1,si eIF4A3,19.07,R2Q2
C06,ZFAS1,si eIF4A3,19.61,R2Q2
C07,ZFAS1,si PYM1,22.08,R2Q2
C08,ZFAS1,si PYM1,21.75,R2Q2
C09,ZFAS1,si PYM1,21.76,R2Q2
C10,ZFAS1,si UPF1,21.22,R2Q2
C11,ZFAS1,si UPF1,22.12,R2Q2
C12,ZFAS1,si UPF1,21.79,R2Q2
D01,GAS5,siNC,17.94,R2Q2
D02,GAS5,siNC,17.98,R2Q2
D03,GAS5,siNC,18.87,R2Q2
D04,GAS5,si eIF4A3,18.82,R2Q2
D05,GAS5,si eIF4A3,17.81,R2Q2
D06,GAS5,si eIF4A3,18.35,R2Q2
D07,GAS5,si PYM1,18.44,R2Q2
D08,GAS5,si PYM1,18.09,R2Q2
D09,GAS5,si PYM1,17.98,R2Q2
D10,GAS5,si UPF1,17.55,R2Q2
D11,GAS5,si UPF1,18.5,R2Q2
D12,GAS5,si UPF1,16.44,R2Q2
E01,GAPDH,siNC,14.06,R2Q2
E02,GAPDH,siNC,13.97,R2Q2
E03,GAPDH,siNC,14.71,R2Q2
E04,GAPDH,si eIF4A3,15.8,R2Q2
E05,GAPDH,si eIF4A3,15.62,R2Q2
E06,GAPDH,si eIF4A3,15.75,R2Q2
E07,GAPDH,si PYM1,14.57,R2Q2
E08,GAPDH,si PYM1,14.25,R2Q2
E09,GAPDH,si PYM1,14.18,R2Q2
E10,GAPDH,si UPF1,13.78,R2Q2
E11,GAPDH,si UPF1,14.28,R2Q2
E12,GAPDH,si UPF1,13.75,R2Q2
F01,SRSF6_PTC+,siNC,22.64,R2Q2
F02,SRSF6_PTC+,siNC,22.67,R2Q2
F03,SRSF6_PTC+,siNC,23.47,R2Q2
F04,SRSF6_PTC+,si eIF4A3,23.12,R2Q2
F05,SRSF6_PTC+,si eIF4A3,22.68,R2Q2
F06,SRSF6_PTC+,si eIF4A3,22.75,R2Q2
F07,SRSF6_PTC+,si PYM1,22.75,R2Q2
F08,SRSF6_PTC+,si PYM1,22.78,R2Q2
F09,SRSF6_PTC+,si PYM1,22.72,R2Q2
F10,SRSF6_PTC+,si UPF1,22.01,R2Q2
F11,SRSF6_PTC+,si UPF1,22.32,R2Q2
F12,SRSF6_PTC+,si UPF1,22.41,R2Q2
A01,RPS9_PTC+,siNC,18.29,R3Q1
A02,RPS9_PTC+,siNC,18.83,R3Q1
A03,RPS9_PTC+,siNC,19.03,R3Q1
A04,RPS9_PTC+,si eIF4A3,19.37,R3Q1
A05,RPS9_PTC+,si eIF4A3,19.37,R3Q1
A06,RPS9_PTC+,si eIF4A3,19.24,R3Q1
A07,RPS9_PTC+,si PYM1,17.78,R3Q1
A08,RPS9_PTC+,si PYM1,19.06,R3Q1
A09,RPS9_PTC+,si PYM1,19.24,R3Q1
A10,RPS9_PTC+,si UPF1,19.34,R3Q1
A11,RPS9_PTC+,si UPF1,19.28,R3Q1
A12,RPS9_PTC+,si UPF1,19.32,R3Q1
B01,RPS9_NOR,siNC,19.41,R3Q1
B02,RPS9_NOR,siNC,19.02,R3Q1
B03,RPS9_NOR,siNC,18.9,R3Q1
B04,RPS9_NOR,si eIF4A3,19.57,R3Q1
B05,RPS9_NOR,si eIF4A3,18.86,R3Q1
B06,RPS9_NOR,si eIF4A3,18.8,R3Q1
B07,RPS9_NOR,si PYM1,19.97,R3Q1
B08,RPS9_NOR,si PYM1,19.86,R3Q1
B09,RPS9_NOR,si PYM1,19.78,R3Q1
B10,RPS9_NOR,si UPF1,20.29,R3Q1
B11,RPS9_NOR,si UPF1,20.2,R3Q1
B12,RPS9_NOR,si UPF1,20.17,R3Q1
C01,GAPDH,siNC,17.97,R3Q1
C02,GAPDH,siNC,17.71,R3Q1
C03,GAPDH,siNC,17.76,R3Q1
C04,GAPDH,si eIF4A3,18.16,R3Q1
C05,GAPDH,si eIF4A3,18.21,R3Q1
C06,GAPDH,si eIF4A3,18.13,R3Q1
C07,GAPDH,si PYM1,18.61,R3Q1
C08,GAPDH,si PYM1,18.35,R3Q1
C09,GAPDH,si PYM1,18.02,R3Q1
C10,GAPDH,si UPF1,18.09,R3Q1
C11,GAPDH,si UPF1,17.74,R3Q1
C12,GAPDH,si UPF1,17.68,R3Q1
D01,B-actin,siNC,18.96,R3Q1
D02,B-actin,siNC,18.76,R3Q1
D03,B-actin,siNC,18.53,R3Q1
D04,B-actin,si eIF4A3,19.16,R3Q1
D05,B-actin,si eIF4A3,18.92,R3Q1
D06,B-actin,si eIF4A3,19.24,R3Q1
D07,B-actin,si PYM1,18.17,R3Q1
D08,B-actin,si PYM1,18.24,R3Q1
D09,B-actin,si PYM1,17.5,R3Q1
D10,B-actin,si UPF1,17.36,R3Q1
D11,B-actin,si UPF1,15.54,R3Q1
D12,B-actin,si UPF1,14.78,R3Q1
E01,SRSF3_PTC+,siNC,25.88,R3Q1
E02,SRSF3_PTC+,siNC,24.91,R3Q1
E03,SRSF3_PTC+,siNC,25.09,R3Q1
E04,SRSF3_PTC+,si eIF4A3,23.15,R3Q1
E05,SRSF3_PTC+,si eIF4A3,21.47,R3Q1
E06,SRSF3_PTC+,si eIF4A3,20.91,R3Q1
E07,SRSF3_PTC+,si PYM1,23.65,R3Q1
E08,SRSF3_PTC+,si PYM1,24.47,R3Q1
E09,SRSF3_PTC+,si PYM1,24.37,R3Q1
E10,SRSF3_PTC+,si UPF1,24.43,R3Q1
E11,SRSF3_PTC+,si UPF1,23.85,R3Q1
E12,SRSF3_PTC+,si UPF1,23.95,R3Q1
F01,SRSF3_NOR,siNC,19.78,R3Q1
F02,SRSF3_NOR,siNC,18.81,R3Q1
F03,SRSF3_NOR,siNC,18.99,R3Q1
F04,SRSF3_NOR,si eIF4A3,19.93,R3Q1
F05,SRSF3_NOR,si eIF4A3,19.84,R3Q1
F06,SRSF3_NOR,si eIF4A3,20.88,R3Q1
F07,SRSF3_NOR,si PYM1,19.86,R3Q1
F08,SRSF3_NOR,si PYM1,19.89,R3Q1
F09,SRSF3_NOR,si PYM1,20.01,R3Q1
F10,SRSF3_NOR,si UPF1,19.97,R3Q1
F11,SRSF3_NOR,si UPF1,19.66,R3Q1
F12,SRSF3_NOR,si UPF1,19.97,R3Q1
G01,RSRC2_PTC+,siNC,22.65,R3Q1
G02,RSRC2_PTC+,siNC,22.07,R3Q1
G03,RSRC2_PTC+,siNC,22.01,R3Q1
G04,RSRC2_PTC+,si eIF4A3,19.51,R3Q1
G05,RSRC2_PTC+,si eIF4A3,19.31,R3Q1
G06,RSRC2_PTC+,si eIF4A3,19.33,R3Q1
G07,RSRC2_PTC+,si PYM1,21.28,R3Q1
G08,RSRC2_PTC+,si PYM1,21.57,R3Q1
G09,RSRC2_PTC+,si PYM1,21.76,R3Q1
G10,RSRC2_PTC+,si UPF1,21.54,R3Q1
G11,RSRC2_PTC+,si UPF1,21.66,R3Q1
G12,RSRC2_PTC+,si UPF1,22.18,R3Q1
H01,RSRC2_NOR,siNC,19.9,R3Q1
H02,RSRC2_NOR,siNC,19.65,R3Q1
H03,RSRC2_NOR,siNC,19.71,R3Q1
H04,RSRC2_NOR,si eIF4A3,18.7,R3Q1
H05,RSRC2_NOR,si eIF4A3,18.78,R3Q1
H06,RSRC2_NOR,si eIF4A3,18.92,R3Q1
H07,RSRC2_NOR,si PYM1,18.67,R3Q1
H08,RSRC2_NOR,si PYM1,19.72,R3Q1
H09,RSRC2_NOR,si PYM1,19.5,R3Q1
H10,RSRC2_NOR,si UPF1,19.98,R3Q1
H11,RSRC2_NOR,si UPF1,20.36,R3Q1
H12,RSRC2_NOR,si UPF1,20.5,R3Q1
A01,SRSF2_PTC+,siNC,26.2,R3Q2
A02,SRSF2_PTC+,siNC,26.23,R3Q2
A03,SRSF2_PTC+,siNC,26.03,R3Q2
A04,SRSF2_PTC+,si eIF4A3,23.26,R3Q2
A05,SRSF2_PTC+,si eIF4A3,23.27,R3Q2
A06,SRSF2_PTC+,si eIF4A3,23.52,R3Q2
A07,SRSF2_PTC+,si PYM1,26.2,R3Q2
A08,SRSF2_PTC+,si PYM1,26.17,R3Q2
A09,SRSF2_PTC+,si PYM1,26.11,R3Q2
A10,SRSF2_PTC+,si UPF1,25.81,R3Q2
A11,SRSF2_PTC+,si UPF1,26.29,R3Q2
A12,SRSF2_PTC+,si UPF1,26.82,R3Q2
B01,SRSF2_NOR,siNC,20.08,R3Q2
B02,SRSF2_NOR,siNC,20.08,R3Q2
B03,SRSF2_NOR,siNC,19.83,R3Q2
B04,SRSF2_NOR,si eIF4A3,21.82,R3Q2
B05,SRSF2_NOR,si eIF4A3,21.36,R3Q2
B06,SRSF2_NOR,si eIF4A3,21.01,R3Q2
B07,SRSF2_NOR,si PYM1,20.66,R3Q2
B08,SRSF2_NOR,si PYM1,20.94,R3Q2
B09,SRSF2_NOR,si PYM1,20.8,R3Q2
B10,SRSF2_NOR,si UPF1,20.87,R3Q2
B11,SRSF2_NOR,si UPF1,21.18,R3Q2
B12,SRSF2_NOR,si UPF1,21.5,R3Q2
C01,GAPDH,siNC,17.65,R3Q2
C02,GAPDH,siNC,17.51,R3Q2
C03,GAPDH,siNC,17.32,R3Q2
C04,GAPDH,si eIF4A3,17.92,R3Q2
C05,GAPDH,si eIF4A3,18.17,R3Q2
C06,GAPDH,si eIF4A3,18.42,R3Q2
C07,GAPDH,si PYM1,17.83,R3Q2
C08,GAPDH,si PYM1,18.33,R3Q2
C09,GAPDH,si PYM1,18.51,R3Q2
C10,GAPDH,si UPF1,17.85,R3Q2
C11,GAPDH,si UPF1,17.93,R3Q2
C12,GAPDH,si UPF1,18.11,R3Q2
D01,B-actin,siNC,17.12,R3Q2
D02,B-actin,siNC,17.43,R3Q2
D03,B-actin,siNC,17.75,R3Q2
D04,B-actin,si eIF4A3,18.65,R3Q2
D05,B-actin,si eIF4A3,18.28,R3Q2
D06,B-actin,si eIF4A3,18.73,R3Q2
D07,B-actin,si PYM1,16.48,R3Q2
D08,B-actin,si PYM1,17.57,R3Q2
D09,B-actin,si PYM1,17.72,R3Q2
D10,B-actin,si UPF1,17.13,R3Q2
D11,B-actin,si UPF1,17.83,R3Q2
D12,B-actin,si UPF1,15.87,R3Q2
E01,ZFAS1,siNC,19.68,R3Q2
E02,ZFAS1,siNC,19.85,R3Q2
E03,ZFAS1,siNC,19.88,R3Q2
E04,ZFAS1,si eIF4A3,17.38,R3Q2
E05,ZFAS1,si eIF4A3,16.86,R3Q2
E06,ZFAS1,si eIF4A3,16.68,R3Q2
E07,ZFAS1,si PYM1,19.72,R3Q2
E08,ZFAS1,si PYM1,19.6,R3Q2
E09,ZFAS1,si PYM1,19.56,R3Q2
E10,ZFAS1,si UPF1,19.27,R3Q2
E11,ZFAS1,si UPF1,19.85,R3Q2
E12,ZFAS1,si UPF1,19.96,R3Q2
F01,GAS5,siNC,16.02,R3Q2
F02,GAS5,siNC,16.32,R3Q2
F03,GAS5,siNC,16.14,R3Q2
F04,GAS5,si eIF4A3,15.61,R3Q2
F05,GAS5,si eIF4A3,14.9,R3Q2
F06,GAS5,si eIF4A3,15,R3Q2
F07,GAS5,si PYM1,16.32,R3Q2
F08,GAS5,si PYM1,16.96,R3Q2
F09,GAS5,si PYM1,16.52,R3Q2
F10,GAS5,si UPF1,16.4,R3Q2
F11,GAS5,si UPF1,16.01,R3Q2
F12,GAS5,si UPF1,15.9,R3Q2
G01,SRSF6_PTC+,siNC,22.64,R3Q2
G02,SRSF6_PTC+,siNC,22.87,R3Q2
G03,SRSF6_PTC+,siNC,22.73,R3Q2
G04,SRSF6_PTC+,si eIF4A3,21.95,R3Q2
G05,SRSF6_PTC+,si eIF4A3,21.91,R3Q2
G06,SRSF6_PTC+,si eIF4A3,22.42,R3Q2
G07,SRSF6_PTC+,si PYM1,23.11,R3Q2
G08,SRSF6_PTC+,si PYM1,23.05,R3Q2
G09,SRSF6_PTC+,si PYM1,22.84,R3Q2
G10,SRSF6_PTC+,si UPF1,22.36,R3Q2
G11,SRSF6_PTC+,si UPF1,22.29,R3Q2
G12,SRSF6_PTC+,si UPF1,22.74,R3Q2
A01,RPS9_PTC+,siNC,18.56,R2Q3
A02,RPS9_PTC+,siNC,18.29,R2Q3
