Sample	Target	N	Cq	sd	se	ci	Delcq	Rel.levels	Sampletype	RepNo	CellLine	Rel.Norm.Levels
HEK_DMSO_4	DAZAP1	3	16.964471674098466	0.05000458543469745	0.028870160861438215	0.12421827643877321	2.217957772009999	0.21494541296652683	DMSO	4	HEK	1
HEK_SMG1i_4	DAZAP1	3	17.273825084541432	0.03401111097080583	0.01963632407443298	0.08448828338110415	2.138038236205132	0.2271885077831195	SMG1i	4	HEK	1.0569590885779883
HEK_DMSO_4	EIF4G1	3	17.281896391148866	0.07947417807756403	0.04588443810670585	0.19742480287283817	2.5353824890603995	0.17249393131136334	DMSO	4	HEK	1
HEK_SMG1i_4	EIF4G1	3	17.888976319932933	0.03338174722247928	0.019272960744918455	0.08292485715947762	2.7531894715966327	0.14832261896573254	SMG1i	4	HEK	0.8598715203377217
HEK_DMSO_4	EPHA2	3	21.7274828225054	0.1094593639288953	0.06319639322967292	0.2719121338399726	6.9809689204169345	0.007916240068041735	DMSO	4	HEK	1
HEK_SMG1i_4	EPHA2	3	21.75074526775523	0.03625711963922604	0.02093305778374762	0.09006767821524492	6.614958419418931	0.010202323628283005	SMG1i	4	HEK	1.2887840111709479
HEK_DMSO_4	FOXK1	3	22.363607592910533	0.20072133429717287	0.11588651638857363	0.49861943608045206	7.617093690822067	0.005093617386560563	DMSO	4	HEK	1
HEK_SMG1i_4	FOXK1	3	22.358300711312697	0.1573677251931472	0.09085629850202259	0.39092310076465947	7.222513862976397	0.006695864910351194	SMG1i	4	HEK	1.3145598505333633
HEK_DMSO_4	MAPK3	3	20.021355622127167	0.02243556908910107	0.01295318185301495	0.055733043258815965	5.274841720038701	0.02582940606482389	DMSO	4	HEK	1
HEK_SMG1i_4	MAPK3	3	19.838415343087167	0.03452750191171248	0.01993446252317252	0.08577106959141659	4.702628494750867	0.03840323099791305	SMG1i	4	HEK	1.4868027124407242
HEK_DMSO_4	MYH9	3	21.766226027900032	0.2444894733253088	0.14115606323839686	0.6073455208133759	7.019712125811566	0.007706480595279013	DMSO	4	HEK	1
HEK_SMG1i_4	MYH9	3	21.6611030000369	0.13074529525101453	0.07548583140845035	0.32478931856697657	6.525316151700599	0.01085635677349511	SMG1i	4	HEK	1.4087308258643654
HEK_DMSO_4	SLC7A5	3	21.090786873136665	0.019843687670370532	0.011456758418203285	0.04929445288216249	6.344272971048198	0.0123078879846339	DMSO	4	HEK	1
HEK_SMG1i_4	SLC7A5	3	20.047501870875465	0.047618714130020445	0.02749267742143114	0.11829144355544209	4.911715022539164	0.03322205157142443	SMG1i	4	HEK	2.699248775492705
HEK_DMSO_4	SRSF3_NOR	3	18.516486800852068	0.05477358284432525	0.031623542799651454	0.13606512275126928	3.7699728987636014	0.07330356133213134	DMSO	4	HEK	1
HEK_SMG1i_4	SRSF3_NOR	3	19.063259499168932	0.08534893130477982	0.04927622846386151	0.21201849891179186	3.927472650832632	0.06572232594833435	SMG1i	4	HEK	0.8965775298495098
HEK_DMSO_4	SRSF3_PTC	3	20.139175847976833	0.0669231855770086	0.0386381192079132	0.16624640908231283	5.392661945888367	0.02380383864975323	DMSO	4	HEK	1
HEK_SMG1i_4	SRSF3_PTC	3	18.1319213658481	0.07974345417187369	0.046039904732241864	0.1980937217735856	2.9961345175118	0.12533536761872147	SMG1i	4	HEK	5.265342681190657
HEK_DMSO_4	USF2	3	18.504921582075166	0.08070096610180241	0.04659272450273849	0.20047231326817241	3.7584076799867	0.07389355355928535	DMSO	4	HEK	1
HEK_SMG1i_4	USF2	3	18.788178013408835	0.06970359561888957	0.04024338969405072	0.1731533305214787	3.652391165072535	0.0795281176776855	SMG1i	4	HEK	1.076252444861506
HEK_DMSO_4	DYNC1H1	3	19.5517706775189	0.028356337116529413	0.016371538867460036	0.07044104639827634	4.805256775430433	0.035766263659344044	DMSO	4	HEK	1
HEK_SMG1i_4	DYNC1H1	3	18.9419377082811	0.09392034863662578	0.0542249385677394	0.2333110799489808	3.8061508599447986	0.07148821004483842	SMG1i	4	HEK	1.9987609196679932
HEK_DMSO_4	FNBP4	3	20.137625527263868	0.02436676513946352	0.014068158412549653	0.06053040019630462	5.391111625175402	0.02382943201388662	DMSO	4	HEK	1
HEK_SMG1i_4	FNBP4	3	18.844615648820433	0.061019460514362134	0.03522960195377272	0.15158074301438718	3.7088288004841328	0.07647707729646493	SMG1i	4	HEK	3.2093537626871615
HEK_DMSO_4	PCNT	3	20.942479748779167	0.10144543027467615	0.05856954647714169	0.25200441903006165	6.195965846690701	0.013640441521498568	DMSO	4	HEK	1
HEK_SMG1i_4	PCNT	3	20.120781413432265	0.023045923027383338	0.013305569863583167	0.05724924649441829	4.984994565095965	0.031576726657965945	SMG1i	4	HEK	2.314934352249388
HEK_DMSO_5	ACTB	3	14.916977411299	0.061555465506026086	0.035539064579996886	0.152912253227866	0	1	DMSO	5	HEK	1
HEK_SMG1i_5	ACTB	3	15.018783418836467	0.12067237026072311	0.06967022545377868	0.29976678573096127	0	1	SMG1i	5	HEK	1
HEK_DMSO_5	BRD2	3	16.1930080181808	0.14579100851841068	0.08417247801353143	0.3621649422946976	1.2760306068818021	0.4129300720329701	DMSO	5	HEK	1
HEK_SMG1i_5	BRD2	3	14.7692889098509	0.2127203393518919	0.12281414518692335	0.5284266170403625	-0.2494945089855669	1.1887905139930017	SMG1i	5	HEK	2.8789148442017165
HEK_DMSO_5	CAPN1	3	21.825108702079135	0.0865715543873292	0.04998211022968885	0.21505566301840923	6.908131290780135	0.00832616987767024	DMSO	5	HEK	1
HEK_SMG1i_5	CAPN1	3	21.8781837250724	0.06112419598818258	0.035290071007776654	0.15184092035466257	6.8594003062359334	0.008612212864406025	SMG1i	5	HEK	1.034354690204306
HEK_DMSO_5	DAZAP1	3	17.004960636746333	0.05537676237291602	0.031971788662853	0.13756350376519738	2.087983225447333	0.23520926169564563	DMSO	5	HEK	1
HEK_SMG1i_5	DAZAP1	3	17.37278422557	0.08290124192243482	0.047863054340072035	0.20593810141045776	2.3540008067335343	0.19560283605591075	SMG1i	5	HEK	0.8316119639413497
HEK_DMSO_5	EIF4G1	3	17.525592898680166	0.07887054310111173	0.045535929290558844	0.1959252904637015	2.608615487381167	0.1639564442548814	DMSO	5	HEK	1
HEK_SMG1i_5	EIF4G1	3	17.8063044025628	0.06909812358237408	0.039893820250781704	0.17164925460216027	2.787520983726335	0.14483468207442426	SMG1i	5	HEK	0.88337291487774
HEK_DMSO_5	EPHA2	3	21.728558237625734	0.03874046689969135	0.02236681899306859	0.09623665479633868	6.811580826326734	0.008902456359052954	DMSO	5	HEK	1
HEK_SMG1i_5	EPHA2	3	21.7884593252544	0.031778679810669355	0.018347429343180878	0.07894261694732257	6.769675906417934	0.00916483163914261	SMG1i	5	HEK	1.0294722343483151
HEK_DMSO_5	FOXK1	3	22.6879267869856	0.0578836058779813	0.03341911543531871	0.14379084825358643	7.7709493756866	0.004578372698341177	DMSO	5	HEK	1
HEK_SMG1i_5	FOXK1	3	22.192302598531	0.15415908429532846	0.0890037888159341	0.38295239490692345	7.173519179694534	0.00692716532067214	SMG1i	5	HEK	1.5130190958857435
HEK_DMSO_5	MAPK3	3	20.070134367969466	0.08872512178677855	0.05122547294747893	0.22040542101017743	5.1531569566704665	0.028102514701245557	DMSO	5	HEK	1
HEK_SMG1i_5	MAPK3	3	19.755647842516368	0.013557732191709094	0.007827560330484101	0.03367927382323602	4.736864423679901	0.037502629818608496	SMG1i	5	HEK	1.3344937354288193
HEK_DMSO_5	MYH9	3	21.864919097667066	0.11740327508913491	0.06778281247645573	0.2916459031319181	6.9479416863680665	0.008099554728531869	DMSO	5	HEK	1
HEK_SMG1i_5	MYH9	3	21.54164953228233	0.310994443368721	0.1795527255954089	0.7725530249170423	6.522866113445865	0.010874809105213839	SMG1i	5	HEK	1.3426428328097753
