Well,Target,Sample,Cq,File,Exp,,source_file,Well,Fluor,Target,Sample,Cq,Exp
E03,GAPDH,siNC,15.78,R1Q2,NMDtargets,,2,C03,SYBR,EPHA2,HEK_DMSO_2,20.89460095,ncEJCtargets
E04,GAPDH,si eIF4A3,16.07,R1Q2,NMDtargets,,2,C04,SYBR,EIF4G1,HEK_DMSO_2,19.71429456,ncEJCtargets
E05,GAPDH,si eIF4A3,14.91,R1Q2,NMDtargets,,2,C05,SYBR,EIF4G1,HEK_DMSO_2,19.72333225,ncEJCtargets
E06,GAPDH,si eIF4A3,14.04,R1Q2,NMDtargets,,2,C06,SYBR,EIF4G1,HEK_DMSO_2,19.6895503,ncEJCtargets
E07,GAPDH,si PYM1,16.65,R1Q2,NMDtargets,,2,C07,SYBR,DAZAP1,HEK_DMSO_2,19.0362937,ncEJCtargets
E08,GAPDH,si PYM1,16.65,R1Q2,NMDtargets,,2,C08,SYBR,DAZAP1,HEK_DMSO_2,19.00039158,ncEJCtargets
E09,GAPDH,si PYM1,16.17,R1Q2,NMDtargets,,2,C09,SYBR,DAZAP1,HEK_DMSO_2,18.89593715,ncEJCtargets
E10,GAPDH,si UPF1,15.84,R1Q2,NMDtargets,,2,C10,SYBR,CAPN1,HEK_DMSO_2,21.1256387,ncEJCtargets
E11,GAPDH,si UPF1,16.11,R1Q2,NMDtargets,,2,C11,SYBR,CAPN1,HEK_DMSO_2,20.97083006,ncEJCtargets
E12,GAPDH,si UPF1,16.35,R1Q2,NMDtargets,,2,C12,SYBR,CAPN1,HEK_DMSO_2,21.0742319,ncEJCtargets
F01,RSRC2_PTC+,siNC,21.74,R1Q2,NMDtargets,,2,D01,SYBR,EPHA2,HEK_SMG1i_2,19.39909971,ncEJCtargets
F02,RSRC2_PTC+,siNC,22.16,R1Q2,NMDtargets,,2,D02,SYBR,EPHA2,HEK_SMG1i_2,19.38985954,ncEJCtargets
F03,RSRC2_PTC+,siNC,22.2,R1Q2,NMDtargets,,2,D03,SYBR,EPHA2,HEK_SMG1i_2,19.35489925,ncEJCtargets
F04,RSRC2_PTC+,si eIF4A3,21.6,R1Q2,NMDtargets,,2,D04,SYBR,EIF4G1,HEK_SMG1i_2,19.92902829,ncEJCtargets
F05,RSRC2_PTC+,si eIF4A3,22.63,R1Q2,NMDtargets,,2,D05,SYBR,EIF4G1,HEK_SMG1i_2,19.94566268,ncEJCtargets
F06,RSRC2_PTC+,si eIF4A3,21.67,R1Q2,NMDtargets,,2,D06,SYBR,EIF4G1,HEK_SMG1i_2,19.95121828,ncEJCtargets
F07,RSRC2_PTC+,si PYM1,23.04,R1Q2,NMDtargets,,2,D07,SYBR,DAZAP1,HEK_SMG1i_2,19.30169401,ncEJCtargets
F08,RSRC2_PTC+,si PYM1,23.11,R1Q2,NMDtargets,,2,D08,SYBR,DAZAP1,HEK_SMG1i_2,19.24695898,ncEJCtargets
F09,RSRC2_PTC+,si PYM1,22.86,R1Q2,NMDtargets,,2,D09,SYBR,DAZAP1,HEK_SMG1i_2,19.1899391,ncEJCtargets
F10,RSRC2_PTC+,si UPF1,22.04,R1Q2,NMDtargets,,2,D10,SYBR,CAPN1,HEK_SMG1i_2,21.3769899,ncEJCtargets
F11,RSRC2_PTC+,si UPF1,21.88,R1Q2,NMDtargets,,2,D11,SYBR,CAPN1,HEK_SMG1i_2,21.27615614,ncEJCtargets
F12,RSRC2_PTC+,si UPF1,22.23,R1Q2,NMDtargets,,2,D12,SYBR,CAPN1,HEK_SMG1i_2,21.33723574,ncEJCtargets
G01,RSRC2_PTC-,siNC,17.96,R1Q2,NMDtargets,,2,E01,SYBR,EPHA2,HEK_DMSO_3,22.14757218,ncEJCtargets
G02,RSRC2_PTC-,siNC,18.5,R1Q2,NMDtargets,,2,E02,SYBR,EPHA2,HEK_DMSO_3,22.2016814,ncEJCtargets
