source_file,Well,Fluor,Target,Sample,Cq,Exp
2,D05,SYBR,EIF4G1,HEK_SMG1i_2,19.9456626806316,ncEJCtargets
2,D06,SYBR,EIF4G1,HEK_SMG1i_2,19.9512182820653,ncEJCtargets
2,D07,SYBR,DAZAP1,HEK_SMG1i_2,19.301694012288,ncEJCtargets
2,D08,SYBR,DAZAP1,HEK_SMG1i_2,19.2469589823045,ncEJCtargets
2,D09,SYBR,DAZAP1,HEK_SMG1i_2,19.1899391027349,ncEJCtargets
2,D10,SYBR,CAPN1,HEK_SMG1i_2,21.3769898991523,ncEJCtargets
2,D11,SYBR,CAPN1,HEK_SMG1i_2,21.2761561399788,ncEJCtargets
2,D12,SYBR,CAPN1,HEK_SMG1i_2,21.3372357369024,ncEJCtargets
2,E01,SYBR,EPHA2,HEK_DMSO_3,22.1475721809281,ncEJCtargets
2,E02,SYBR,EPHA2,HEK_DMSO_3,22.2016814028348,ncEJCtargets
2,E03,SYBR,EPHA2,HEK_DMSO_3,22.1678622546994,ncEJCtargets
2,E04,SYBR,EIF4G1,HEK_DMSO_3,19.0430349331228,ncEJCtargets
2,E05,SYBR,EIF4G1,HEK_DMSO_3,19.0163551770773,ncEJCtargets
2,E06,SYBR,EIF4G1,HEK_DMSO_3,19.0211204372356,ncEJCtargets
2,E07,SYBR,DAZAP1,HEK_DMSO_3,18.2834708078203,ncEJCtargets
2,E08,SYBR,DAZAP1,HEK_DMSO_3,18.218034548028,ncEJCtargets
2,E09,SYBR,DAZAP1,HEK_DMSO_3,18.2646980568863,ncEJCtargets
2,E10,SYBR,CAPN1,HEK_DMSO_3,22.8739948039291,ncEJCtargets
2,E11,SYBR,CAPN1,HEK_DMSO_3,23.0366625563837,ncEJCtargets
2,E12,SYBR,CAPN1,HEK_DMSO_3,22.9470373941248,ncEJCtargets
2,F01,SYBR,EPHA2,HEK_SMG1i_3,22.0919409502252,ncEJCtargets
2,F02,SYBR,EPHA2,HEK_SMG1i_3,22.1573384920257,ncEJCtargets
2,F03,SYBR,EPHA2,HEK_SMG1i_3,22.167692989681,ncEJCtargets
2,F04,SYBR,EIF4G1,HEK_SMG1i_3,19.1458050630418,ncEJCtargets
2,F05,SYBR,EIF4G1,HEK_SMG1i_3,19.1827594188511,ncEJCtargets
2,F06,SYBR,EIF4G1,HEK_SMG1i_3,19.1842092737055,ncEJCtargets
2,F07,SYBR,DAZAP1,HEK_SMG1i_3,18.3508488358014,ncEJCtargets
2,F08,SYBR,DAZAP1,HEK_SMG1i_3,18.3841800520534,ncEJCtargets
2,F09,SYBR,DAZAP1,HEK_SMG1i_3,18.1788024020585,ncEJCtargets
2,F10,SYBR,CAPN1,HEK_SMG1i_3,22.980638803292,ncEJCtargets
2,F11,SYBR,CAPN1,HEK_SMG1i_3,23.0745224263823,ncEJCtargets
2,F12,SYBR,CAPN1,HEK_SMG1i_3,23.1418845311175,ncEJCtargets
2,G01,SYBR,EPHA2,HCT_DMSO_1,20.8970002266119,ncEJCtargets
2,G02,SYBR,EPHA2,HCT_DMSO_1,20.9157421723469,ncEJCtargets
2,G03,SYBR,EPHA2,HCT_DMSO_1,20.90658511297,ncEJCtargets
2,G04,SYBR,EIF4G1,HCT_DMSO_1,19.9088817435126,ncEJCtargets
2,G05,SYBR,EIF4G1,HCT_DMSO_1,19.8601901189608,ncEJCtargets
2,G06,SYBR,EIF4G1,HCT_DMSO_1,19.8495438993493,ncEJCtargets
2,G07,SYBR,DAZAP1,HCT_DMSO_1,19.0187079825903,ncEJCtargets
2,G08,SYBR,DAZAP1,HCT_DMSO_1,19.0928416761352,ncEJCtargets
2,G09,SYBR,DAZAP1,HCT_DMSO_1,19.2300255138881,ncEJCtargets
2,G10,SYBR,CAPN1,HCT_DMSO_1,21.3395135286453,ncEJCtargets
2,G11,SYBR,CAPN1,HCT_DMSO_1,21.3541171498179,ncEJCtargets
2,G12,SYBR,CAPN1,HCT_DMSO_1,21.4162307877344,ncEJCtargets
2,H01,SYBR,EPHA2,HCT_SMG1i_1,19.2042216380634,ncEJCtargets
2,H02,SYBR,EPHA2,HCT_SMG1i_1,19.4401500067579,ncEJCtargets
2,H03,SYBR,EPHA2,HCT_SMG1i_1,19.2288533543169,ncEJCtargets
2,H04,SYBR,EIF4G1,HCT_SMG1i_1,20.0792315487021,ncEJCtargets
2,H05,SYBR,EIF4G1,HCT_SMG1i_1,20.3814727729525,ncEJCtargets
2,H06,SYBR,EIF4G1,HCT_SMG1i_1,20.2692034609398,ncEJCtargets
2,H07,SYBR,DAZAP1,HCT_SMG1i_1,19.6231840059121,ncEJCtargets
2,H08,SYBR,DAZAP1,HCT_SMG1i_1,19.6596324156686,ncEJCtargets
2,H09,SYBR,DAZAP1,HCT_SMG1i_1,19.5838680744811,ncEJCtargets
2,H10,SYBR,CAPN1,HCT_SMG1i_1,21.6380548564561,ncEJCtargets
2,H11,SYBR,CAPN1,HCT_SMG1i_1,21.5224720448099,ncEJCtargets
2,H12,SYBR,CAPN1,HCT_SMG1i_1,21.5666838746808,ncEJCtargets
3,A01,SYBR,FOXK1,HEK_DMSO_1,22.506162843106,ncEJCtargets
3,A02,SYBR,FOXK1,HEK_DMSO_1,22.7886450159734,ncEJCtargets
3,A03,SYBR,FOXK1,HEK_DMSO_1,22.7965834284465,ncEJCtargets
3,A04,SYBR,MAPK3,HEK_DMSO_1,20.721583132793,ncEJCtargets
3,A05,SYBR,MAPK3,HEK_DMSO_1,20.8357092122588,ncEJCtargets
3,A06,SYBR,MAPK3,HEK_DMSO_1,20.8078082837405,ncEJCtargets
3,A07,SYBR,MYH9,HEK_DMSO_1,21.4577530421367,ncEJCtargets
3,A08,SYBR,MYH9,HEK_DMSO_1,21.3249021167812,ncEJCtargets
3,A09,SYBR,MYH9,HEK_DMSO_1,21.4202414751106,ncEJCtargets
3,A10,SYBR,NOC2L,HEK_DMSO_1,19.8530692853671,ncEJCtargets
3,A11,SYBR,NOC2L,HEK_DMSO_1,19.8019144608223,ncEJCtargets
3,A12,SYBR,NOC2L,HEK_DMSO_1,19.7140554993028,ncEJCtargets
3,B01,SYBR,FOXK1,HEK_SMG1i_1,22.4652042879252,ncEJCtargets
3,B02,SYBR,FOXK1,HEK_SMG1i_1,22.6828736200883,ncEJCtargets
3,B03,SYBR,FOXK1,HEK_SMG1i_1,22.7728089594156,ncEJCtargets
3,B04,SYBR,MAPK3,HEK_SMG1i_1,20.5733669471602,ncEJCtargets
3,B05,SYBR,MAPK3,HEK_SMG1i_1,20.6583037447712,ncEJCtargets
3,B06,SYBR,MAPK3,HEK_SMG1i_1,20.6285348704385,ncEJCtargets
3,B07,SYBR,MYH9,HEK_SMG1i_1,21.4138634092439,ncEJCtargets
3,B08,SYBR,MYH9,HEK_SMG1i_1,21.3860366152186,ncEJCtargets
3,B09,SYBR,MYH9,HEK_SMG1i_1,21.3379322138294,ncEJCtargets
3,B10,SYBR,NOC2L,HEK_SMG1i_1,20.2728035190933,ncEJCtargets
3,B11,SYBR,NOC2L,HEK_SMG1i_1,20.1875153528894,ncEJCtargets
3,B12,SYBR,NOC2L,HEK_SMG1i_1,20.1128033978082,ncEJCtargets
3,C01,SYBR,FOXK1,HEK_DMSO_2,21.9542013466563,ncEJCtargets
3,C02,SYBR,FOXK1,HEK_DMSO_2,22.1525544291336,ncEJCtargets
3,C03,SYBR,FOXK1,HEK_DMSO_2,22.1915450995601,ncEJCtargets
3,C04,SYBR,MAPK3,HEK_DMSO_2,21.2851508898486,ncEJCtargets
3,C05,SYBR,MAPK3,HEK_DMSO_2,21.3024410337245,ncEJCtargets
3,C06,SYBR,MAPK3,HEK_DMSO_2,21.3286449666038,ncEJCtargets
3,C07,SYBR,MYH9,HEK_DMSO_2,21.5348648950931,ncEJCtargets
3,C08,SYBR,MYH9,HEK_DMSO_2,21.6457816936182,ncEJCtargets
3,C09,SYBR,MYH9,HEK_DMSO_2,21.4935610535201,ncEJCtargets
3,C10,SYBR,NOC2L,HEK_DMSO_2,20.1895704082053,ncEJCtargets
3,C11,SYBR,NOC2L,HEK_DMSO_2,20.0414002071907,ncEJCtargets
3,C12,SYBR,NOC2L,HEK_DMSO_2,20.0591758584681,ncEJCtargets
3,D01,SYBR,FOXK1,HEK_SMG1i_2,21.8732207823376,ncEJCtargets
3,D02,SYBR,FOXK1,HEK_SMG1i_2,21.899899498908,ncEJCtargets
3,D03,SYBR,FOXK1,HEK_SMG1i_2,22.0046211349559,ncEJCtargets
3,D04,SYBR,MAPK3,HEK_SMG1i_2,20.6713056534862,ncEJCtargets
3,D05,SYBR,MAPK3,HEK_SMG1i_2,20.6715782031712,ncEJCtargets
3,D06,SYBR,MAPK3,HEK_SMG1i_2,20.735819766365,ncEJCtargets
3,D07,SYBR,MYH9,HEK_SMG1i_2,20.9921010925392,ncEJCtargets
3,D08,SYBR,MYH9,HEK_SMG1i_2,21.0499574735165,ncEJCtargets
3,D09,SYBR,MYH9,HEK_SMG1i_2,21.0064551036854,ncEJCtargets
3,D10,SYBR,NOC2L,HEK_SMG1i_2,20.5152520376978,ncEJCtargets
3,D11,SYBR,NOC2L,HEK_SMG1i_2,20.4401147100062,ncEJCtargets
3,D12,SYBR,NOC2L,HEK_SMG1i_2,20.1921381518509,ncEJCtargets
3,E01,SYBR,FOXK1,HEK_DMSO_3,22.9069475140981,ncEJCtargets
3,E02,SYBR,FOXK1,HEK_DMSO_3,22.8505090552697,ncEJCtargets
3,E03,SYBR,FOXK1,HEK_DMSO_3,22.9351928174857,ncEJCtargets
3,E04,SYBR,MAPK3,HEK_DMSO_3,20.6534455345909,ncEJCtargets
3,E05,SYBR,MAPK3,HEK_DMSO_3,20.7458094488844,ncEJCtargets
3,E06,SYBR,MAPK3,HEK_DMSO_3,20.9840200056756,ncEJCtargets
3,E07,SYBR,MYH9,HEK_DMSO_3,21.689997667649,ncEJCtargets
3,E08,SYBR,MYH9,HEK_DMSO_3,21.6364885071332,ncEJCtargets
3,E09,SYBR,MYH9,HEK_DMSO_3,21.6806205763489,ncEJCtargets
3,E10,SYBR,NOC2L,HEK_DMSO_3,20.0624804479972,ncEJCtargets
3,E11,SYBR,NOC2L,HEK_DMSO_3,19.9863073194148,ncEJCtargets
3,E12,SYBR,NOC2L,HEK_DMSO_3,20.0191315828883,ncEJCtargets
3,F01,SYBR,FOXK1,HEK_SMG1i_3,22.5588971619968,ncEJCtargets
3,F02,SYBR,FOXK1,HEK_SMG1i_3,22.7124416587374,ncEJCtargets
3,F03,SYBR,FOXK1,HEK_SMG1i_3,22.734120118925,ncEJCtargets
3,F04,SYBR,MAPK3,HEK_SMG1i_3,20.7039450917822,ncEJCtargets
3,F05,SYBR,MAPK3,HEK_SMG1i_3,20.6761560134278,ncEJCtargets
3,F06,SYBR,MAPK3,HEK_SMG1i_3,20.7146845783234,ncEJCtargets
3,F07,SYBR,MYH9,HEK_SMG1i_3,21.4796311008704,ncEJCtargets
3,F08,SYBR,MYH9,HEK_SMG1i_3,21.504347620956,ncEJCtargets
3,F09,SYBR,MYH9,HEK_SMG1i_3,21.4938184797574,ncEJCtargets
3,F10,SYBR,NOC2L,HEK_SMG1i_3,20.2969825417608,ncEJCtargets
3,F11,SYBR,NOC2L,HEK_SMG1i_3,20.1128174273417,ncEJCtargets
3,F12,SYBR,NOC2L,HEK_SMG1i_3,20.1684971027574,ncEJCtargets
3,G01,SYBR,FOXK1,HCT_DMSO_1,21.985697603633,ncEJCtargets
3,G02,SYBR,FOXK1,HCT_DMSO_1,22.0504738715883,ncEJCtargets
3,G03,SYBR,FOXK1,HCT_DMSO_1,22.224174892647,ncEJCtargets
3,G04,SYBR,MAPK3,HCT_DMSO_1,21.3317772652203,ncEJCtargets
