annotation_KD_method	quartile	gene	log2foldchange
50_100_UPF1_log2fold	Q1	ENSG00000085832	-0.14957817339937
50_100_UPF1_log2fold	Q1	ENSG00000158122	-0.315547570266915
50_100_UPF1_log2fold	Q1	ENSG00000168806	-0.199502024288335
50_100_UPF1_log2fold	Q1	ENSG00000169193	0.246647480918077
50_100_UPF1_log2fold	Q1	ENSG00000170473	0.119546765964059
50_100_UPF1_log2fold	Q1	ENSG00000136051	0.208219115559186
50_100_UPF1_log2fold	Q1	ENSG00000170632	0.25025274252035
50_100_UPF1_log2fold	Q1	ENSG00000172239	-0.257932747596065
50_100_UPF1_log2fold	Q1	ENSG00000169062	0.0971983445645263
50_100_UPF1_log2fold	Q1	ENSG00000138073	0.335732249484183
50_100_UPF1_log2fold	Q1	ENSG00000122862	0.753769343979985
50_100_UPF1_log2fold	Q1	ENSG00000106484	3.31127502325885
50_100_UPF1_log2fold	Q1	ENSG00000173207	0.370461686503566
50_100_UPF1_log2fold	Q1	ENSG00000163132	-0.385465991356641
50_100_UPF1_log2fold	Q1	ENSG00000084733	-0.254088412437037
50_100_UPF1_log2fold	Q1	ENSG00000156831	-0.405201031798441
50_100_UPF1_log2fold	Q1	ENSG00000073712	-0.199477817231448
50_100_UPF1_log2fold	Q1	ENSG00000083635	-0.0633028394036727
50_100_UPF1_log2fold	Q1	ENSG00000164961	0.00742971209244111
50_100_UPF1_log2fold	Q1	ENSG00000112992	1.23504782350985
50_100_UPF1_log2fold	Q1	ENSG00000205581	-0.198238044575911
50_100_UPF1_log2fold	Q1	ENSG00000160688	-0.0149183488606845
50_100_UPF1_log2fold	Q1	ENSG00000166562	0.295385468180203
50_100_UPF1_log2fold	Q1	ENSG00000171928	0.055331987772581
50_100_UPF1_log2fold	Q1	ENSG00000088305	-0.69063274409268
50_100_UPF1_log2fold	Q1	ENSG00000165996	0.475050385011186
50_100_UPF1_log2fold	Q1	ENSG00000154822	0.242482349790095
50_100_UPF1_log2fold	Q1	ENSG00000088986	-0.424993303605868
50_100_UPF1_log2fold	Q1	ENSG00000027001	-0.0423246149491245
50_100_UPF1_log2fold	Q1	ENSG00000110841	0.101901326777863
50_100_UPF1_log2fold	Q1	ENSG00000137693	-0.242779658841832
50_100_UPF1_log2fold	Q1	ENSG00000171241	-0.449948825183644
50_100_UPF1_log2fold	Q1	ENSG00000066084	-0.168887608282059
50_100_UPF1_log2fold	Q1	ENSG00000004864	-0.161128265948164
50_100_UPF1_log2fold	Q1	ENSG00000273749	0.0113232924638693
50_100_UPF1_log2fold	Q1	ENSG00000159259	-0.339991265494948
50_100_UPF1_log2fold	Q1	ENSG00000123179	-0.151935029346204
50_100_UPF1_log2fold	Q1	ENSG00000091436	0.219261105278658
50_100_UPF1_log2fold	Q1	ENSG00000128951	-0.600575996581766
50_100_UPF1_log2fold	Q1	ENSG00000141127	0.381183027782705
50_100_UPF1_log2fold	Q1	ENSG00000125630	0.255400349213051
50_100_UPF1_log2fold	Q1	ENSG00000136738	0.0219833781576522
50_100_UPF1_log2fold	Q1	ENSG00000067369	0.0127266084605401
50_100_UPF1_log2fold	Q1	ENSG00000136631	0.324338190912955
50_100_UPF1_log2fold	Q1	ENSG00000182154	-0.224487508781719
50_100_UPF1_log2fold	Q1	ENSG00000151729	-0.0561145395605665
50_100_UPF1_log2fold	Q1	ENSG00000142686	-0.238958752142698
50_100_UPF1_log2fold	Q1	ENSG00000110871	0.131129207963783
50_100_UPF1_log2fold	Q1	ENSG00000124177	0.261560921569416
50_100_UPF1_log2fold	Q1	ENSG00000234545	-0.54252485694538
50_100_UPF1_log2fold	Q1	ENSG00000090316	-0.19668964281353
50_100_UPF1_log2fold	Q1	ENSG00000172301	-0.433602817816986
50_100_UPF1_log2fold	Q1	ENSG00000133731	0.186331529968285
50_100_UPF1_log2fold	Q1	ENSG00000213619	-0.0592202523163076
50_100_UPF1_log2fold	Q1	ENSG00000126709	-0.0911273429722937
50_100_UPF1_log2fold	Q1	ENSG00000152193	0.166934900733229
50_100_UPF1_log2fold	Q1	ENSG00000100216	-0.106027038671501
50_100_UPF1_log2fold	Q1	ENSG00000169884	-0.175581455439897
50_100_UPF1_log2fold	Q1	ENSG00000108651	-0.0128243238638021
50_100_UPF1_log2fold	Q1	ENSG00000122068	-0.259915969454262
50_100_UPF1_log2fold	Q1	ENSG00000101639	0.0913596458788179
50_100_UPF1_log2fold	Q1	ENSG00000138399	0.0152594971466742
50_100_UPF1_log2fold	Q1	ENSG00000070367	-0.364391627049003
50_100_UPF1_log2fold	Q1	ENSG00000105810	0.105529201907
50_100_UPF1_log2fold	Q1	ENSG00000169490	-0.0273534981748538
50_100_UPF1_log2fold	Q1	ENSG00000157470	0.00539046432834866
50_100_UPF1_log2fold	Q1	ENSG00000171861	0.28601170736183
50_100_UPF1_log2fold	Q1	ENSG00000135052	-0.15350627349519
50_100_UPF1_log2fold	Q1	ENSG00000163719	0.433045721389358
50_100_UPF1_log2fold	Q1	ENSG00000057608	-0.31865292596072
50_100_UPF1_log2fold	Q1	ENSG00000106460	-0.275619043023854
50_100_UPF1_log2fold	Q1	ENSG00000196975	-0.0922305386872135
50_100_UPF1_log2fold	Q1	ENSG00000174010	0.0126290058273374
50_100_UPF1_log2fold	Q1	ENSG00000158604	0.0458100834278296
50_100_UPF1_log2fold	Q1	ENSG00000145996	-0.11236705533988
50_100_UPF1_log2fold	Q1	ENSG00000226479	-0.204241385694957
50_100_UPF1_log2fold	Q1	ENSG00000171843	0.0407976884714961
50_100_UPF1_log2fold	Q1	ENSG00000205413	0.545127357279862
50_100_UPF1_log2fold	Q1	ENSG00000184436	-0.380072680991194
50_100_UPF1_log2fold	Q1	ENSG00000141682	0.756918279869969
50_100_UPF1_log2fold	Q1	ENSG00000167767	-1.18268414958748
50_100_UPF1_log2fold	Q1	ENSG00000038210	0.212633942848342
50_100_UPF1_log2fold	Q1	ENSG00000171867	0.771753287085828
50_100_UPF1_log2fold	Q1	ENSG00000138029	0.0131444887394614
50_100_UPF1_log2fold	Q1	ENSG00000115919	0.329222851091594
